sales_id,lastSalePrice,lastSaleDate
116,218500.0,2006-06-16T00:00:00.000Z
117,240000.0,2007-10-18T00:00:00.000Z
118,0.0,1983-04-04T00:00:00.000Z
119,0.0,2022-10-11T00:00:00.000Z
120,203000.0,2023-01-05T00:00:00.000Z
121,475004.0,2022-11-18T00:00:00.000Z
122,1400000.0,2022-07-01T00:00:00.000Z
123,180000.0,2010-12-23T00:00:00.000Z
124,165000.0,2011-10-20T00:00:00.000Z
125,230000.0,2019-08-08T00:00:00.000Z
126,500000.0,2023-07-06T00:00:00.000Z
127,116500.0,2003-04-04T00:00:00.000Z
128,90600.0,2008-10-24T00:00:00.000Z
129,87000.0,2019-08-15T00:00:00.000Z
130,401183.0,2004-01-22T00:00:00.000Z
131,1660000.0,2022-03-31T00:00:00.000Z
132,700000.0,2017-10-06T00:00:00.000Z
133,260000.0,1994-12-16T00:00:00.000Z
134,0.0,2021-06-25T00:00:00.000Z
135,79250.0,2013-02-06T00:00:00.000Z
136,101000.0,1990-06-25T00:00:00.000Z
137,231000.0,1998-05-07T00:00:00.000Z
138,565000.0,2020-07-16T00:00:00.000Z
139,363600.0,2017-04-27T00:00:00.000Z
140,142000.0,2016-12-07T00:00:00.000Z
141,540000.0,2022-02-17T00:00:00.000Z
142,0.0,2016-09-12T00:00:00.000Z
143,197000.0,2018-01-10T00:00:00.000Z
144,0.0,1984-01-19T00:00:00.000Z
145,277500.0,2015-11-10T00:00:00.000Z
146,17000.0,2021-12-02T00:00:00.000Z
147,510000.0,2023-12-04T00:00:00.000Z
148,0.0,1996-05-28T00:00:00.000Z
149,0.0,2022-03-22T00:00:00.000Z
150,365100.0,2021-11-29T00:00:00.000Z
151,307000.0,2016-03-18T00:00:00.000Z
152,475000.0,2020-01-10T00:00:00.000Z
153,64500.0,2021-08-20T00:00:00.000Z
154,353473.0,2015-10-22T00:00:00.000Z
155,488000.0,2010-06-21T00:00:00.000Z
156,180000.0,1999-07-30T00:00:00.000Z
157,136000.0,2005-05-20T00:00:00.000Z
158,610006.0,2022-01-06T00:00:00.000Z
159,198000.0,2002-07-10T00:00:00.000Z
160,0.0,2016-06-08T00:00:00.000Z
161,30000.0,2017-08-28T00:00:00.000Z
162,1650000.0,2005-03-09T00:00:00.000Z
163,900000.0,2003-09-15T00:00:00.000Z
164,470000.0,2004-02-25T00:00:00.000Z
165,299900.0,2021-08-20T00:00:00.000Z
166,160000.0,2018-08-16T00:00:00.000Z
